as_of_date,tee_date,course_name,avg_price,occ_percent,market_avg,market_min,market_max
2026-05-07,2026-05-10,falcon_crest_golf_club,90.85,4.92,58.38,41.68,88.67
2026-05-07,2026-05-11,blue_heron_golf_course,36.66,6.06,58.38,40.5,88.67
2026-05-07,2026-05-11,pinehurst_links_club,40.2,7.2,58.38,40.5,88.67
2026-05-07,2026-05-11,ironwood_golf_club,51.98,-0.79,58.38,40.5,88.67
2026-05-07,2026-05-11,stonegate_golf_club_central,62.58,1.49,58.38,40.5,88.67
2026-05-07,2026-05-11,silver_ridge_golf_club_north,63.76,-0.79,58.38,40.5,88.67
2026-05-07,2026-05-11,falcon_crest_golf_club,90.85,2.63,58.38,40.5,88.67
2026-05-08,2026-05-08,pinehurst_links_club,34.31,84.77,60.64,38.14,100.76
2026-05-08,2026-05-08,stonegate_golf_club_central,42.55,71.08,60.64,38.14,100.76
2026-05-08,2026-05-08,blue_heron_golf_course,51.98,93.9,60.64,38.14,100.76
2026-05-08,2026-05-08,ironwood_golf_club,61.4,98.46,60.64,38.14,100.76
2026-05-08,2026-05-08,silver_ridge_golf_club_north,67.29,96.18,60.64,38.14,100.76
2026-05-08,2026-05-08,falcon_crest_golf_club,103.81,99.6,60.64,38.14,100.76
2026-05-08,2026-05-09,pinehurst_links_club,40.2,36.86,66.31,44.04,100.76
2026-05-08,2026-05-09,blue_heron_golf_course,46.09,25.45,66.31,44.04,100.76
2026-05-08,2026-05-09,lakewood_golf_club,63.76,93.9,66.31,44.04,100.76
2026-05-08,2026-05-09,ironwood_golf_club,64.94,26.59,66.31,44.04,100.76
2026-05-08,2026-05-09,stonegate_golf_club_central,66.11,4.92,66.31,44.04,100.76
2026-05-08,2026-05-09,silver_ridge_golf_club_north,74.36,22.03,66.31,44.04,100.76
2026-05-08,2026-05-09,falcon_crest_golf_club,103.81,4.92,66.31,44.04,100.76
2026-05-08,2026-05-10,pinehurst_links_club,39.02,14.04,58.38,42.86,88.67
2026-05-08,2026-05-10,blue_heron_golf_course,40.2,2.63,58.38,42.86,88.67
2026-05-08,2026-05-10,ironwood_golf_club,51.98,-0.79,58.38,42.86,88.67
2026-05-08,2026-05-10,stonegate_golf_club_central,61.4,1.49,58.38,42.86,88.67
2026-05-08,2026-05-10,silver_ridge_golf_club_north,63.76,4.92,58.38,42.86,88.67
2026-05-08,2026-05-10,falcon_crest_golf_club,90.85,2.63,58.38,42.86,88.67
2026-05-08,2026-05-11,blue_heron_golf_course,36.66,1.49,57.24,40.5,88.67
2026-05-08,2026-05-11,pinehurst_links_club,40.2,3.78,57.24,40.5,88.67
2026-05-08,2026-05-11,ironwood_golf_club,51.98,-0.79,57.24,40.5,88.67
2026-05-08,2026-05-11,lakewood_golf_club,53.16,-0.79,57.24,40.5,88.67
2026-05-08,2026-05-11,stonegate_golf_club_central,62.58,-0.79,57.24,40.5,88.67
2026-05-08,2026-05-11,silver_ridge_golf_club_north,64.94,-0.79,57.24,40.5,88.67
2026-05-08,2026-05-11,falcon_crest_golf_club,90.85,12.9,57.24,40.5,88.67
2026-05-09,2026-05-09,pinehurst_links_club,40.2,93.9,66.31,44.04,101.86
2026-05-09,2026-05-09,blue_heron_golf_course,50.8,96.18,66.31,44.04,101.86
2026-05-09,2026-05-09,ironwood_golf_club,61.4,85.91,66.31,44.04,101.86
2026-05-09,2026-05-09,stonegate_golf_club_central,66.11,97.32,66.31,44.04,101.86
2026-05-09,2026-05-09,lakewood_golf_club,68.47,56.25,66.31,44.04,101.86
2026-05-09,2026-05-09,silver_ridge_golf_club_north,68.47,101.89,66.31,44.04,101.86
2026-05-09,2026-05-09,falcon_crest_golf_club,104.99,108.73,66.31,44.04,101.86
2026-05-09,2026-05-10,pinehurst_links_club,40.2,3.78,58.38,44.04,88.67
2026-05-09,2026-05-10,blue_heron_golf_course,40.2,15.18,58.38,44.04,88.67
2026-05-09,2026-05-10,ironwood_golf_club,51.98,-0.79,58.38,44.04,88.67
2026-05-09,2026-05-10,stonegate_golf_club_central,61.4,2.63,58.38,44.04,88.67
2026-05-09,2026-05-10,silver_ridge_golf_club_north,64.94,1.49,58.38,44.04,88.67
2026-05-09,2026-05-10,falcon_crest_golf_club,90.85,2.63,58.38,44.04,88.67
2026-05-09,2026-05-11,blue_heron_golf_course,36.66,7.2,57.24,40.5,87.57
2026-05-09,2026-05-11,pinehurst_links_club,39.02,3.78,57.24,40.5,87.57
2026-05-09,2026-05-11,lakewood_golf_club,51.98,7.2,57.24,40.5,87.57
2026-05-09,2026-05-11,ironwood_golf_club,51.98,-0.79,57.24,40.5,87.57
2026-05-09,2026-05-11,stonegate_golf_club_central,62.58,1.49,57.24,40.5,87.57
2026-05-09,2026-05-11,silver_ridge_golf_club_north,64.94,1.49,57.24,40.5,87.57
2026-05-09,2026-05-11,falcon_crest_golf_club,89.67,8.34,57.24,40.5,87.57
2026-05-10,2026-05-10,blue_heron_golf_course,39.02,109.87,58.38,42.86,88.67
2026-05-10,2026-05-10,pinehurst_links_club,40.2,104.17,58.38,42.86,88.67
2026-05-10,2026-05-10,ironwood_golf_club,51.98,101.89,58.38,42.86,88.67
2026-05-10,2026-05-10,stonegate_golf_club_central,61.4,107.59,58.38,42.86,88.67
2026-05-10,2026-05-10,silver_ridge_golf_club_north,64.94,107.59,58.38,42.86,88.67
2026-05-10,2026-05-10,falcon_crest_golf_club,90.85,109.87,58.38,42.86,88.67
2026-05-10,2026-05-11,blue_heron_golf_course,36.66,4.92,57.24,40.5,86.47
2026-05-10,2026-05-11,pinehurst_links_club,40.2,17.47,57.24,40.5,86.47
